"AU","AF","CR","AB","AR","BA","BE","BF","BN","BP","BS","C1","CA","CL","CT","CY","D2","DA","DE","DI","DT","EA","EF","EFF","EI","EM","EP","ER","FU","FX","GA","GP","HO","ID","IS","J9","JI","LA","NR","OA","OI","PA","PD","PG","PI","PM","PN","PT","PU","PY","RI","RP","SC","SE","SI","SN","SO","SP","SU","TC","TI","U1","U2","UT","VL","WC","Z9","DB","AU_UN","AU1_UN","AU_UN_NR","SR_FULL","SR"
"VILLATORO D","VILLATORO, DANIEL","VILLATORO D., 2011, THESIS IIIA CSIC BAR","THE STUDY OF SOCIAL NORMS IS ONE OF THE MOST ACTIVE TOPICS STUDIED BY RESEARCHERS FROM SEVERAL AREAS SUCH AS MULTIAGENT SYSTEMS, ECONOMICS, OR SOCIAL","","","","","","255","","SPANISH NATL RES COUNCIL, ARTIFICIAL INTELLIGENCE RES INST, BELLATERRA, SPAIN.;","","","","","","2021-08-04","AUTONOMOUS AGENTS; AGENT BASED SOCIAL SIMULATION; COMPLEX SYSTEMS; SELF-ORGANIZATION","10.3233/AIC-130555","ARTICLE","","","","","DVILLATORO@IIIA.CSIC.ES","256","","","","137XE","","","","2","AI COMMUN","AI COMMUN.","ENGLISH","1","","","NIEUWE HEMWEG 6B, 1013 BG AMSTERDAM, NETHERLANDS","","2","AMSTERDAM","","","J","IOS PRESS","2013","","VILLATORO, D (CORRESPONDING AUTHOR), SPANISH NATL RES COUNCIL, ARTIFICIAL INTELLIGENCE RES INST, BELLATERRA, SPAIN.","COMPUTER SCIENCE","","","0921-7126","AI COMMUNICATIONS","","","0","SOCIAL NORMS FOR SELF-POLICING MULTI-AGENT SYSTEMS AND VIRTUAL SOCIETIES","0","7","WOS:000318470700009","26","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","0","ISI","ARTIFICIAL INTELLIGENCE RES INST","ARTIFICIAL INTELLIGENCE RES INST","","VILLATORO D, 2013, AI COMMUN","VILLATORO D, 2013, AI COMMUN"
"WALKER L;DAVIS P","WALKER, LYNDON;DAVIS, PETER","ALAM S. J., 2008, WORLD C SOC SIM, DOI 10.4054/DEMRES.2007.17.3, DOI 10.4054/DEMRES.2007.17.3;BACON B., 2007, APPSIM MODELLING FAM, DOI 10.4054/DEMRES","CHOICE MECHANISMS AND SOCIAL NETWORKS, INCLUDING ""MARRIAGE MARKETS"", SEEM WELL-SUITED TO BE MODELLED USING AGENT-TYPE SIMULATIONS. FEW REAL-WORLD EMPI","6","","","","","","","SWINBURNE UNIV, MELBOURNE, VIC 3122, AUSTRALIA.;  UNIV AUCKLAND, AUCKLAND, NEW ZEALAND.;","","","","","","2021-08-04","MARRIAGE; ETHNICITY; HOMOPHILY; SIMULATION","10.18564/jasss.2106","ARTICLE","","","","","LWALKER@SWIN.EDU.AU; PB.DAVIS@AUCKLAND.AC.NZ","","","","","138XH","","","AGENT-BASED MARRIAGE; MATE CHOICE; SOCIAL NETWORKS; PATTERNS; SEARCH","1","JASSS-J ARTIF SOC S","JASSS","ENGLISH","41","GOLD, GREEN SUBMITTED","WALKER, LYNDON/0000-0002-6939-9721","UNIV SURREY, DEPT SOCIOLOGY, GUILDFORD GU2 7XH, SURREY, ENGLAND","JAN","14","GUILDFORD","","","J","J A S S S","2013","WALKER, LYNDON/I-7962-2015","WALKER, L (CORRESPONDING AUTHOR), SWINBURNE UNIV, POB 218, MELBOURNE, VIC 3122, AUSTRALIA.","SOCIAL SCIENCES - OTHER TOPICS","","","1460-7425","JASSS-THE JOURNAL OF ARTIFICIAL SOCIETIES AND SOCIAL SIMULATION","","","2","MODELLING ""MARRIAGE MARKETS"": A POPULATION-SCALE IMPLEMENTATION AND PARAMETER TEST","0","9","WOS:000318544400006","16","SOCIAL SCIENCES, INTERDISCIPLINARY","2","ISI","SWINBURNE UNIV;UNIV AUCKLAND","SWINBURNE UNIV","","WALKER L, 2013, JASSS-J ARTIF SOC S","WALKER L, 2013, JASSS-J ARTIF SOC S"
"YANG Q;YANG XP;LI XD;SHI L;SUI G","YANG, QING;YANG, XIAOPING;LI, XIUDI;SHI, LEI;SUI, GANG","AICHELE M, 2003, J CHEM PHYS, V119, P5290, DOI 10.1063/1.1597473; DAI XIAOQING, 2008, ACTA MATERIAE COMPOSITAE SINICA, V25, P18;DONATI C, 1999, PHYS R","CURING AND THERMAL TRANSITION BEHAVIOR OF TWO EPOXY RESINS I.E. 2,2'-DIMETHYL-4,4'-DIAMINOBIPHENYL (MTB)-4,5-EPOXYCYCLOHEXYL-1,2-DIGLYCIDYL DIFORMATE","","","","","","7452","","BEIJING UNIV CHEM TECHNOL, STATE KEY LAB ORGAN INORGAN COMPOSITES, BEIJING 100029, PEOPLES R CHINA.;  BEIJING UNIV CHEM TECHNOL, COLL MAT SCI & ENGN,","","","","","","2021-08-04","","10.1039/c3ra40699g","ARTICLE","","","","2046-2069","YANGQINGACC@GMAIL.COM; SUIGANG@MAIL.BUCT.EDU.CN","7459","","NATIONAL NATURAL SCIENCE FOUNDATION OF CHINANATIONAL NATURAL SCIENCE FOUNDATION OF CHINA (NSFC) [51073019]; PROGRAM FOR NEW CENTURY EXCELLENT TALENTS","THE AUTHORS ACKNOWLEDGE THE FINANCIAL SUPPORT FROM THE NATIONAL NATURAL SCIENCE FOUNDATION OF CHINA (NO. 51073019), THE PROGRAM FOR NEW CENTURY EXCELL","135QF","","","DYNAMICS; HETEROGENEITY; RELAXATION; NETWORKS","20","RSC ADV","RSC ADV.","ENGLISH","22","","","THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE CB4 0WF, CAMBS, ENGLAND","","8","CAMBRIDGE","","","J","ROYAL SOC CHEMISTRY","2013","","YANG, Q (CORRESPONDING AUTHOR), BEIJING UNIV CHEM TECHNOL, STATE KEY LAB ORGAN INORGAN COMPOSITES, BEIJING 100029, PEOPLES R CHINA.","CHEMISTRY","","","","RSC ADVANCES","","","15","THE CURING AND THERMAL TRANSITION BEHAVIOR OF EPOXY RESIN: A MOLECULAR SIMULATION AND EXPERIMENTAL STUDY","2","51","WOS:000318302900042","3","CHEMISTRY, MULTIDISCIPLINARY","20","ISI","BEIJING UNIV CHEM TECHNOL;BEIJING UNIV CHEM TECHNOL","BEIJING UNIV CHEM TECHNOL","","YANG Q, 2013, RSC ADV","YANG Q, 2013, RSC ADV"
"VENTRESCA M;ALEMAN D","VENTRESCA, MARIO;ALEMAN, DIONNE","ALEMAN DM, 2011, INTERFACES, V41, P301, DOI 10.1287/INTE.1100.0550;AMES GM, 2011, P ROY SOC B-BIOL SCI, V278, P3544, DOI 10.1098/RSPB.2011.0290;ANDERS","COMPUTER SIMULATION IS AN EFFECTIVE TOOL FOR ASSESSING MITIGATION STRATEGIES, WITH RECENT TRENDS CONCENTRATING ON AGENT-BASED TECHNIQUES. THESE METHOD","","","","","","75","","UNIV TORONTO, DEPT MECH & IND ENGN, TORONTO, ON M5S 3G8, CANADA.;","","","","","","2021-08-04","PANDEMIC MITIGATION; CONTACT NETWORK; VACCINATION STRATEGY; CRITICAL NODE DETECTION","10.1016/j.socnet.2013.01.002","ARTICLE","","","","1879-2111","MVENTRESCA@GMAIL.COM","88","","","","130TN","","","INFECTIOUS-DISEASE; VACCINATION STRATEGIES; PANDEMIC INFLUENZA; PUBLIC-HEALTH; MODELS; EPIDEMICS; TRANSMISSION; IMPACT; DISTRIBUTIONS; DYNAMICS","1","SOC NETWORKS","SOC. NETWORKS","ENGLISH","60","","ALEMAN, DIONNE/0000-0001-8326-8544","RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS","JAN","14","AMSTERDAM","","","J","ELSEVIER","2013","","VENTRESCA, M (CORRESPONDING AUTHOR), UNIV TORONTO, DEPT MECH & IND ENGN, 5 KINGS COLL RD, TORONTO, ON M5S 3G8, CANADA.","ANTHROPOLOGY; SOCIOLOGY","","","0378-8733","SOCIAL NETWORKS","","","21","EVALUATION OF STRATEGIES TO MITIGATE CONTAGION SPREAD USING SOCIAL NETWORK CHARACTERISTICS","1","34","WOS:000317943100007","35","ANTHROPOLOGY; SOCIOLOGY","21","ISI","UNIV TORONTO","UNIV TORONTO","","VENTRESCA M, 2013, SOC NETWORKS","VENTRESCA M, 2013, SOC NETWORKS"
"SCHREIBER C;CARLEY KM","SCHREIBER, CRAIG;CARLEY, KATHLEEN M.","ASHWORTH MJ, 2006, J MATH SOCIOL, V30, P43, DOI 10.1080/00222500500323101;BALCI O, 1998, 1998 WINTER SIMULATION CONFERENCE PROCEEDINGS, VOLS 1 AND 2,","VALIDATING A COMPUTATIONAL MODEL IS IMPORTANT AS IT ESTABLISHES THAT THE MODEL HAS MET ITS INTENDED PURPOSE OF REPRESENTING THE SYSTEM UNDER STUDY. IN","","","","","","208","","LENOIR RHYNE UNIV, CHARLES M SNIPES SCH BUSINESS, HICKORY, NC 28601 USA.;  LENOIR RHYNE UNIV, BROYHILL INST BUSINESS LEADERSHIP, HICKORY, NC 28601 USA","","","","","","2021-08-04","MULTIAGENT NETWORK MODEL; ORGANIZATION THEORY; SIMULATION; SOCIAL NETWORKS; VALIDATION","10.1109/TSMCA.2012.2192104","ARTICLE","","","","","CRAIGSCHREIBER.ACAD@GMAIL.COM; KATHLEEN.CARLEY@CS.CMU.EDU","214","","NATIONAL AERONAUTICS AND SPACE ADMINISTRATIONNATIONAL AERONAUTICS & SPACE ADMINISTRATION (NASA) [NAG-2-1569, NNA04AA14C]; ARMY RESEARCH LABORATORYUNIT","THIS WORK WAS SUPPORTED IN PART BY THE NATIONAL AERONAUTICS AND SPACE ADMINISTRATION UNDER GRANT NAG-2-1569 AND CONTRACT NNA04AA14C, BY THE ARMY RESEA","126KJ","","","","1","IEEE T SYST MAN CY-S","IEEE TRANS. SYST. MAN CYBERN. -SYST.","ENGLISH","35","","CARLEY, KATHLEEN M./0000-0002-6356-0238","445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","JAN","7","PISCATAWAY","","","J","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2013","","SCHREIBER, C (CORRESPONDING AUTHOR), LENOIR RHYNE UNIV, CHARLES M SNIPES SCH BUSINESS, HICKORY, NC 28601 USA.","AUTOMATION & CONTROL SYSTEMS; COMPUTER SCIENCE","","","2168-2216","IEEE TRANSACTIONS ON SYSTEMS MAN CYBERNETICS-SYSTEMS","","","5","VALIDATING AGENT INTERACTIONS IN CONSTRUCT AGAINST EMPIRICAL COMMUNICATION NETWORKS USING THE CALIBRATED GROUNDING TECHNIQUE","0","5","WOS:000317613400018","43","AUTOMATION & CONTROL SYSTEMS; COMPUTER SCIENCE, CYBERNETICS","6","ISI","LENOIR RHYNE UNIV;LENOIR RHYNE UNIV;CARNEGIE MELLON UNIV","LENOIR RHYNE UNIV","","SCHREIBER C, 2013, IEEE T SYST MAN CY-S","SCHREIBER C, 2013, IEEE T SYST MAN CY-S"
"ACHTEMEIER GL","ACHTEMEIER, GARY L.","ACHTEMEIER GL, 2005, INT J WILDLAND FIRE, V14, P85, DOI 10.1071/WF04041;ACHTEMEIER GL, 2003, 5 S FIR FOR MET 16 2;ADOU JK, 2010, ECOL MODEL, V221, P14","A CELLULAR AUTOMATA FIRE MODEL REPRESENTS 'ELEMENTS' OF FIRE BY AUTONOMOUS AGENTS. A FEW SIMPLE ALGEBRAIC EXPRESSIONS SUBSTITUTED FOR COMPLEX PHYSICAL","","","","","","148","","US FOREST SERV, USDA, CTR FOREST DISTURBANCE SCI, ATHENS, GA 30602 USA.;","","","","","","2021-08-04","","10.1071/WF11055","ARTICLE","","","","1448-5516","GACHTEMEIER@FS.FED.US","156","","NATIONAL FIRE PLAN [01.SRSA5]","DR CRAIG CLEMENTS IS ACKNOWLEDGED FOR PROVIDING FIREFLUX EXPERIMENT DATA FOR RABBIT RULES VALIDATION. DR SCOTT GOODRICK, DR YONQIANG LIU AND DR J. J.","111CV","","","ANOMALOUS DIFFUSION; SIMULATING FIRE; GRASS FIRES; DYNAMICS; WIND","2","INT J WILDLAND FIRE","INT. J. WILDLAND FIRE","ENGLISH","33","","","UNIPARK, BLDG 1, LEVEL 1, 195 WELLINGTON RD, LOCKED BAG 10, CLAYTON, VIC 3168, AUSTRALIA","","9","CLAYTON","","","J","CSIRO PUBLISHING","2013","","ACHTEMEIER, GL (CORRESPONDING AUTHOR), US FOREST SERV, USDA, CTR FOREST DISTURBANCE SCI, ATHENS, GA 30602 USA.","FORESTRY","","","1049-8001","INTERNATIONAL JOURNAL OF WILDLAND FIRE","","","19","FIELD VALIDATION OF A FREE-AGENT CELLULAR AUTOMATA MODEL OF FIRE SPREAD WITH FIRE-ATMOSPHERE COUPLING","1","15","WOS:000316496600005","22","FORESTRY","20","ISI","CTR FOREST DISTURBANCE SCI","CTR FOREST DISTURBANCE SCI","","ACHTEMEIER GL, 2013, INT J WILDLAND FIRE","ACHTEMEIER GL, 2013, INT J WILDLAND FIRE"
"BAFFO I;CONFESSORE G;STECCA G","BAFFO, ILARIA;CONFESSORE, GIUSEPPE;STECCA, GIUSEPPE","ALLAHVERDI A, 2004, COMPUT OPER RES, V31, P157, DOI 10.1016/S0305-0548(02)00143-0;ALLAHVERDI A, 2003, EUR J OPER RES, V147, P373, DOI 10.1016/S0377-22","THE RECENT ADVANCES IN TECHNOLOGY SECTORS OFTEN CLASH WITH TRADITIONAL ORGANIZATIONAL PARADIGMS WHICH CAN LIMIT OR MAKE DIFFICULT AN EFFICIENT IMPLEME","","","","","","68","","UNIV TUSCIA, DEPT ECON & ENTERPRISE, I-01100 VITERBO, ITALY.;  INST IND TECHNOL & AUTOMAT CNR ITIA, NATL RES COUNCIL ITALY, AREA RIC ROMA 1, I-00010 R","","","","","","2021-08-04","FLEXIBLE MANUFACTURING SYSTEMS; FLOW SHOP SCHEDULING; MULTI-AGENT SYSTEMS; DISTRIBUTED SCHEDULING; MATHEMATICAL PROGRAMMING","10.1016/j.jmsy.2012.10.002","ARTICLE","","","","1878-6642","GIUSEPPE.STECCA@ITIA.CNR.IT","77","","","","098JQ","","","INTEGER PROGRAMMING FORMULATIONS; AGENT-BASED SYSTEMS; MANUFACTURING SYSTEMS; SCHEDULING PROBLEMS; EMPIRICAL-ANALYSIS; MAKESPAN; BICRITERIA; TARDINESS","1","J MANUF SYST","J. MANUF. SYST.","ENGLISH","47","","STECCA, GIUSEPPE/0000-0001-5876-4538; STECCA, GIUSEPPE/0000-0001-5876-4538; BAFFO, ILARIA/0000-0001-8082-4349; CONFESSORE, GIUSEPPE/0000-0002-1339-664","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","JAN","10","OXFORD","","","J","ELSEVIER SCI LTD","2013","STECCA, GIUSEPPE/I-4719-2019; STECCA, GIUSEPPE/K-5771-2012","STECCA, G (CORRESPONDING AUTHOR), INST IND TECHNOL & AUTOMAT CNR ITIA, NATL RES COUNCIL ITALY, AREA RIC ROMA 1, STR NEVE,VIA SALARIA KM 29,300, I-0001","ENGINEERING; OPERATIONS RESEARCH & MANAGEMENT SCIENCE","","","0278-6125","JOURNAL OF MANUFACTURING SYSTEMS","","","7","A DECENTRALIZED MODEL FOR FLOW SHOP PRODUCTION WITH FLEXIBLE TRANSPORTATION SYSTEM","1","38","WOS:000315546000007","32","ENGINEERING, INDUSTRIAL; ENGINEERING, MANUFACTURING; OPERATIONS RESEARCH & MANAGEMENT SCIENCE","7","ISI","UNIV TUSCIA;INST IND TECHNOL AND AUTOMAT CNR ITIA","INST IND TECHNOL AND AUTOMAT CNR ITIA","","BAFFO I, 2013, J MANUF SYST","BAFFO I, 2013, J MANUF SYST"
"ONTANON-GARCIA LJ;CAMPOS-CANTON E","ONTANON-GARCIA, L. J.;CAMPOS-CANTON, E.","AMATORE C, 2007, BIOPHYS CHEM, V129, P181, DOI 10.1016/J.BPC.2007.05.018;ATWATER I, 1980, HORM METAB RES SUPPL, VSUPPL 10, P100;BEIGELMAN PM, 1977, J","THE SYNCHRONIZATION PHENOMENON THAT OCCURS IN THE LANGERHANS ISLETS AMONG PANCREATIC BETA CELLS IS AN INTERESTING TOPIC BECAUSE THESE CELLS ARE RESPON","427050","","","","","","","UNIV AUTONOMA SAN LUIS POTOSI, DEPT FIS MATEMAT, INST INVEST COMUNICAC OPT, SAN LUIS POTOSI 78000, SLP, MEXICO.;  INST POTOSINO INVEST CIENT & TECNOL","","","","","","2021-08-04","","10.1155/2013/427050","ARTICLE","","","","1607-887X","LUISJAVIER.ONTANON@GMAIL.COM","","","CONACYTCONSEJO NACIONAL DE CIENCIA Y TECNOLOGIA (CONACYT) [181002]","L. J. ONTANON-GARCIA IS A DOCTORAL FELLOW OF CONACYT AT THE GRADUATE PROGRAM ON APPLIED SCIENCE AT IICO-UASLP. E. CAMPOS-CANTON ACKNOWLEDGES CONACYT F","097ZG","","","ELECTRICAL-ACTIVITY; BURSTING ACTIVITY; ISLET; CHANNEL; GLUCOSE; K+","","DISCRETE DYN NAT SOC","DISCRETE DYN. NAT. SOC.","ENGLISH","22","GOLD, GREEN SUBMITTED","CANTON, ERIC CAMPOS/0000-0002-1098-1610; PIMENTEL, LUIS JAVIER ONTANON GARCIA/0000-0002-6042-6893","ADAM HOUSE, 3RD FLR, 1 FITZROY SQ, LONDON, W1T 5HF, ENGLAND","","7","LONDON","","","J","HINDAWI LTD","2013","CANTON, ERIC CAMPOS/H-4907-2019; PIMENTEL, LUIS JAVIER ONTANON GARCIA/AAK-5654-2020","ONTANON-GARCIA, LJ (CORRESPONDING AUTHOR), UNIV AUTONOMA SAN LUIS POTOSI, DEPT FIS MATEMAT, INST INVEST COMUNICAC OPT, ALVARO OBREGON 64, SAN LUIS POT","MATHEMATICS; SCIENCE & TECHNOLOGY - OTHER TOPICS","","","1026-0226","DISCRETE DYNAMICS IN NATURE AND SOCIETY","","","3","DISCRETE COUPLING AND SYNCHRONIZATION IN THE INSULIN RELEASE IN THE MATHEMATICAL MODEL OF THE BETA CELLS","0","6","WOS:000315511400001","2013","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS; MULTIDISCIPLINARY SCIENCES","4","ISI","UNIV AUTONOMA SAN LUIS POTOSI;INST POTOSINO INVEST CIENT AND TECNOL AC","UNIV AUTONOMA SAN LUIS POTOSI","","ONTANON-GARCIA LJ, 2013, DISCRETE DYN NAT SOC","ONTANON-GARCIA LJ, 2013, DISCRETE DYN NAT SOC"
"MUIS J;SCHOLTE M","MUIS, JASPER;SCHOLTE, MICHEL","AARTS K, 2008, ACTA POLIT, V43, P203, DOI 10.1057/AP.2008.6;ADAMS J, 2001, BRIT J POLIT SCI, V31, P121;ADAMS J, 2006, AM J POLIT SCI, V50, P513, DOI 1","THIS ARTICLE PUTS PARTY STRATEGIES AT THE CENTRE OF THE ANALYSIS OF RADICAL RIGHT-WING CHALLENGERS' FORTUNES. IT EXTENDS MOST PREVIOUS STUDIES BECAUSE","","","","","","22","","VRIJE UNIV AMSTERDAM, DEPT SOCIOL, NL-1081 HV AMSTERDAM, NETHERLANDS.;","","","","","","2021-08-04","AGENT-BASED SIMULATION; ADAPTIVE BEHAVIOUR; PARTY STRATEGIES; POPULIST RADICAL RIGHT; IMMIGRATION AND INTEGRATION ISSUES","10.1057/ap.2012.21","ARTICLE","","","","1741-1416","MUIS.JASPER@GMAIL.COM","46","","","","093MD","","","VOTERS; EUROPE; POLICY; MODEL; IMMIGRATION; COMPETITION; RESPOND","1","ACTA POLIT","ACTA POLIT.","ENGLISH","54","GREEN SUBMITTED","MUIS, JASPER/0000-0002-3392-5670","BRUNEL RD BLDG, HOUNDMILLS, BASINGSTOKE RG21 6XS, HANTS, ENGLAND","JAN","25","BASINGSTOKE","","","J","PALGRAVE MACMILLAN LTD","2013","MUIS, JASPER/F-2230-2013","MUIS, J (CORRESPONDING AUTHOR), VRIJE UNIV AMSTERDAM, DEPT SOCIOL, DE BOELELAAN 1081, NL-1081 HV AMSTERDAM, NETHERLANDS.","GOVERNMENT & LAW","","","0001-6810","ACTA POLITICA","","","9","HOW TO FIND THE 'WINNING FORMULA'? CONDUCTING SIMULATION EXPERIMENTS TO GRASP THE TACTICAL MOVES AND FORTUNES OF POPULIST RADICAL RIGHT PARTIES","2","24","WOS:000315195100003","48","POLITICAL SCIENCE","9","ISI","VRIJE UNIV AMSTERDAM","VRIJE UNIV AMSTERDAM","","MUIS J, 2013, ACTA POLIT","MUIS J, 2013, ACTA POLIT"
"MANFRED L;COVELL DA;CROWE JJ;TUFEKCI E;MITCHELL JC","MANFRED, LAUREN;COVELL, DAVID A.;CROWE, JENNIFER J.;TUFEKCI, ESER;MITCHELL, JOHN C.","AZARPAZHOOH A, 2008, J AM DENT ASSOC, V139, P915, DOI 10.14219/JADA.ARCHIVE.2008.0278;BROWN ML, 2011, ANGLE ORTHOD, V81, P1014, DOI 10.2319/120710-708","OBJECTIVE: TO COMPARE CHANGES IN ENAMEL MICROHARDNESS ADJACENT TO ORTHODONTIC BRACKETS AFTER USING BONDING AGENTS CONTAINING VARIOUS COMPOSITIONS OF B","","","","","","97","","OREGON HLTH & SCI UNIV, DEPT ORTHODONT, PORTLAND, OR 97239 USA.;  VIRGINIA COMMONWEALTH UNIV, DEPT ORTHODONT, RICHMOND, VA USA.;  OREGON HLTH & SCI UN","","","","","","2021-08-04","BIOACTIVE GLASS; ORTHODONTIC ADHESIVE; WHITE SPOT LESIONS; MICROHARDNESS","10.2319/110811-689.1","ARTICLE","","","","1945-7103","MITCHELJ@OHSU.EDU","103","","","","063ER","","","CARIES-LIKE LESIONS; ENAMEL DEMINERALIZATION; GLASS-IONOMER; APPLIANCES; DENTIFRICES; EFFICACY; RELEASE","1","ANGLE ORTHOD","ANGLE ORTHOD.","ENGLISH","30","GOLD","","1615 BEACON ST, NEWTON N, MA 02468-1507 USA","JAN","7","NEWTON N","22765388","","J","E H ANGLE EDUCATION RESEARCH FOUNDATION, INC","2013","","MITCHELL, JC (CORRESPONDING AUTHOR), OREGON HLTH & SCI UNIV, DEPT RESTORAT DENT, DIV BIOMAT & BIOMECH, 611 SW CAMPUS DR, PORTLAND, OR 97239 USA.","DENTISTRY, ORAL SURGERY & MEDICINE","","","0003-3219","ANGLE ORTHODONTIST","","","24","A NOVEL BIOMIMETIC ORTHODONTIC BONDING AGENT HELPS PREVENT WHITE SPOT LESIONS ADJACENT TO BRACKETS","0","9","WOS:000312979500015","83","DENTISTRY, ORAL SURGERY & MEDICINE","25","ISI","OREGON HLTH AND SCI UNIV;VIRGINIA COMMONWEALTH UNIV;OREGON HLTH AND SCI UNIV","OREGON HLTH AND SCI UNIV","","MANFRED L, 2013, ANGLE ORTHOD","MANFRED L, 2013, ANGLE ORTHOD"
"DELICHATSIOS MA;GUMMALA M;VLACHOS DG","DELICHATSIOS, M. A.;GUMMALA, M.;VLACHOS, D. G.","BEYLER C, 2005, FIRE MATER, V29, P425, DOI 10.1002/FAM.902;CHAO BH, 1993, COMBUST FLAME, V92, P1, DOI 10.1016/0010-2180(93)90195-9;CORLETT RC, 1968, C","IN,THIS WORK A PREVIOUSLY PROPOSED EMPIRICAL AND ANALYTICAL CRITERION FOR EXTINCTION IS NUMERICALLY EXTENDED AND VALIDATED FOR VARYING FUEL DILUTION,","","","","","","152","","UNIV ULSTER, FIRESERT, JORDANSTOWN BT37 0QB, NORTH IRELAND.;  UNIV DELAWARE, DEPT CHEM ENGN, NEWARK, DE 19716 USA.;  UNIV DELAWARE, CTR CATALYT SCI &","","","","","","2021-08-04","IGNITION; EXTINCTION OF FLAMES ON SOLIDS; FIRES","10.1016/j.firesaf.2012.10.024","ARTICLE","","","","","M.DELICHATSIOS@ULSTER.AC.UK","159","","","","082EY","","","POINT BOUNDARY-LAYER; ASYMPTOTIC THEORY; CONDENSED FUEL; GAS FIRES; IGNITION; COMBUSTION; CONVECTION; RADIATION","","FIRE SAFETY J","FIRE SAF. J.","ENGLISH","21","","DELICHATSIOS, MICHAEL/0000-0002-3160-0573; VLACHOS, DIONISIOS/0000-0002-6795-8403","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","JAN","8","OXFORD","","","J","ELSEVIER SCI LTD","2013","VLACHOS, DIONISIOS/ABH-6064-2020","DELICHATSIOS, MA (CORRESPONDING AUTHOR), UNIV ULSTER, FIRESERT, JORDANSTOWN BT37 0QB, NORTH IRELAND.","ENGINEERING; MATERIALS SCIENCE","","","0379-7112","FIRE SAFETY JOURNAL","","","3","EXTINCTION OF SURFACE STABILIZED GASEOUS DIFFUSION FLAMES: PART I SIMPLIFIED NUMERICAL MODEL AND IMPLICATIONS FOR SOLID FUELS IN FIRES","1","23","WOS:000314376300014","55","ENGINEERING, CIVIL; MATERIALS SCIENCE, MULTIDISCIPLINARY","3","ISI","UNIV ULSTER;UNIV DELAWARE;UNIV DELAWARE","UNIV ULSTER","","DELICHATSIOS MA, 2013, FIRE SAFETY J","DELICHATSIOS MA, 2013, FIRE SAFETY J"
"LACROIX B;MATHIEU P;KEMENY A","LACROIX, BENOIT;MATHIEU, PHILIPPE;KEMENY, ANDRAS","ANDERBERG MR, 1973, CLUSTER ANAL APPL;BARCELO J., 2002, INT S TRANSP SIM YOK;BAZZAN ALC, 2005, AUTON AGENT MULTI-AG, V10, P131, DOI 10.1007/S10458-004","IN INDIVIDUAL-CENTERED SIMULATIONS, THE VARIETY AND CONSISTENCY OF AGENTS' BEHAVIORS REINFORCE THE REALISM AND VALIDITY OF THE SIMULATION. VARIETY INC","","","","","","211","","RENAULT, TECH CTR SIMULAT, F-78288 GUYANCOURT, FRANCE.;  UNIV LILLE, DEPT COMP SCI, LIFL, F-59655 VILLENEUVE DASCQ, FRANCE.;","","","","","","2021-08-04","AGENT; AGENT-BASED SIMULATION; BEHAVIOR; VARIETY; CONSISTENCY; ROAD TRAFFIC","10.1016/j.engappai.2012.05.011","ARTICLE","","","","1873-6769","LACROIX.BENOIT@GMAIL.COM; PHILIPPE.MATHIEU@UNIV-LILLE1.FR; ANDRAS.KEMENY@RENAULT.COM","226","","","","075AA","","","MODEL","1","ENG APPL ARTIF INTEL","ENG. APPL. ARTIF. INTELL.","ENGLISH","30","","MATHIEU, PHILIPPE/0000-0003-2786-1209","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND","JAN","16","OXFORD","","","J","PERGAMON-ELSEVIER SCIENCE LTD","2013","","LACROIX, B (CORRESPONDING AUTHOR), UNIV LILLE, DEPT COMP SCI, LIFL, F-59655 VILLENEUVE DASCQ, FRANCE.","AUTOMATION & CONTROL SYSTEMS; COMPUTER SCIENCE; ENGINEERING","","","0952-1976","ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE","","","8","FORMALIZING THE CONSTRUCTION OF POPULATIONS IN MULTI-AGENT SIMULATIONS","0","16","WOS:000313855000017","26","AUTOMATION & CONTROL SYSTEMS; COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE; ENGINEERING, MULTIDISCIPLINARY; ENGINEERING, ELECTRICAL & ELECTRONIC","8","ISI","TECH CTR SIMULAT;UNIV LILLE","UNIV LILLE","","LACROIX B, 2013, ENG APPL ARTIF INTEL","LACROIX B, 2013, ENG APPL ARTIF INTEL"
